State1,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021,2022Q1,2022Q2,2022Q3,2022,2023Q1,2023Q2,2023Q3,2022(duplicate),2023,2024Q1,2024Q2,2024Q3,2021Q4,2022Q4,2023Q4
Southeast ,929605.25,937365.0,952665.5,934835.0,947560.5,959922.25,968344.0,988918.75,972711.25,983561.5,994376.5,1005026.25,1029448.25,1014855.2378029,1022395.4209178075,1033641.35848754,1046900.7128006725,1061680.5,1078727.75,1092332.5,1101068.0,1116149.0,1126118.25,1139221.0,1149606.75,1145310.75,1043668.75,1136726.5,1152103.0,1181891.25,1220138.25,1246307.0,1255618.25,1338220.25,1365296.75,1391478.0,1401151.25,1473533.5,1486637.75,1516533.0,1421333.25,1530656.75,1588713.75,1611060.0,1632860.25,1374136.5,1509610.0,1645922.75
Alabama ,50808.75,50828.25,49914.0,49369.75,49754.5,50235.5,50296.25,51406.25,50718.75,51346.0,51490.75,52070.25,52799.0,52091.82753189075,52434.67452087375,52888.83682462325,53781.15097559025,54342.5,55143.0,55785.25,56464.75,56391.25,56731.75,57332.0,57687.5,57948.25,52644.0,57895.25,58409.0,59531.5,60946.75,62247.75,63527.5,67359.0,68849.0,70055.0,70392.25,73760.0,74114.75,75572.25,71237.25,76234.0,78447.5,79520.0,81019.5,71384.0,75306.0,81489.0
Arkansas ,30177.75,30468.25,29726.75,29232.5,29676.75,29999.25,29998.5,30345.75,30001.5,30378.75,30250.75,30751.75,30676.0,30403.44194402075,30623.63247302425,30627.642456006,31048.80222765175,31522.25,32088.25,32258.25,32550.25,32298.25,32617.75,32889.0,33149.0,33118.0,30739.75,33259.25,33633.75,34692.75,35751.0,36481.0,37169.0,40217.5,40944.75,41622.0,41497.25,43681.25,43779.75,44219.5,42151.5,44651.5,46150.25,46549.25,47557.5,41751.25,43204.75,46925.5
Florida ,211444.75,214171.25,222021.75,217138.75,219821.5,223597.0,227529.5,231512.25,226701.25,230048.25,233724.5,235574.75,244096.5,240691.608445179,242046.14310385825,245028.434694939,248619.340035277,255044.25,258069.25,262119.5,264003.5,271910.25,274669.75,278292.5,281627.5,281823.75,258673.5,281583.0,283955.5,290835.5,303365.25,310575.0,313889.5,336082.5,342867.0,350810.25,359766.25,384764.75,390245.0,398836.75,366320.25,400202.75,417609.75,423818.25,429467.75,350782.25,409305.25,426964.5
Georgia ,120041.5,121193.75,124486.0,121861.25,123686.75,125588.0,126808.25,132825.5,131084.5,131542.0,133389.75,135285.5,140902.0,138648.47168039926,139678.54083717024,141683.5129875465,143597.12327649724,144998.25,147085.0,149436.5,150633.75,154109.25,155703.5,157366.5,158534.5,159422.5,146304.0,157563.0,159338.5,163400.0,168905.0,172510.0,172906.75,183710.75,186883.75,190524.0,191844.5,197920.0,199156.5,202823.5,194921.0,207957.0,216271.0,219436.5,221981.0,186812.0,206259.5,231928.0
Kentucky ,47304.25,47753.5,48318.5,47253.0,48150.5,48623.75,49246.25,49170.25,47816.25,48967.75,49824.75,50072.5,50543.75,49660.5615267465,50308.0460494195,50731.96476139475,51474.36164468725,51141.75,51911.5,52266.25,52768.25,53121.5,53571.0,54099.75,54606.5,54492.75,48849.75,54313.25,54884.0,56425.25,57877.75,59075.25,59295.5,63297.75,64573.25,65609.75,64745.25,68084.0,68732.25,70112.25,65385.25,69926.75,71818.25,72777.0,73785.0,63803.75,65500.25,72778.5
Louisiana ,63894.25,63538.75,59826.25,60091.0,60095.0,60041.5,59077.25,59249.75,58994.5,59293.5,59374.5,59336.25,58990.0,58310.421754674,58614.17987326725,59133.303066801,59902.30439269475,62936.25,64163.75,64818.25,65369.75,63931.0,63927.0,64290.5,64769.75,61825.0,54879.0,59190.5,59542.75,60910.25,63324.5,64290.25,64642.75,68174.75,70261.75,71162.5,72988.0,75995.0,76315.5,78333.5,74606.0,78747.25,80763.0,81663.25,82240.25,70046.0,82353.0,84345.0
Mississippi ,26298.5,26435.75,26454.75,25968.75,26351.5,26703.5,26795.25,27123.75,26983.0,27056.0,27114.5,27341.25,27343.75,27147.624251984,27144.6199622855,27427.2737951945,27655.916094602,28168.5,28735.0,28867.75,29063.0,28640.75,28793.75,29126.5,29410.5,29101.75,26247.0,28987.5,29509.25,30111.25,30939.5,31566.0,31827.0,33712.25,34539.0,34966.75,34994.0,36357.75,36301.25,36681.25,35690.5,37786.75,38565.5,39006.5,39637.0,34691.25,36758.0,41806.75
North Carolina ,121711.5,123066.25,123850.5,121544.25,123098.75,124855.0,125904.25,130405.25,128211.0,129446.75,130836.0,133127.5,135124.25,133013.39635609326,134313.92408223925,135611.071828073,137558.18414571774,138000.0,140842.75,141730.75,143117.25,145255.0,147119.25,148779.5,150447.0,150785.0,137475.0,149624.5,151944.5,157026.5,161726.0,165081.75,165530.25,177302.25,180790.75,183981.0,178992.0,188201.5,189575.75,193341.25,182124.75,197025.75,205321.0,208186.75,211285.75,178286.75,173894.0,216984.5
South Carolina ,47736.5,48310.5,50251.25,49112.75,49790.75,50680.5,51421.5,52464.75,51682.0,52251.75,52511.0,53414.0,55422.5,54864.62957997525,55211.4778675765,55587.625352359,56025.9125396095,57135.25,58118.5,58882.0,59794.0,61076.25,61273.75,62277.75,62916.25,61806.5,56945.25,62685.0,63445.25,64922.75,66693.5,68024.25,67450.5,71766.25,73233.0,74740.25,74386.5,78671.25,79549.75,81343.25,75486.25,81855.0,85623.75,87032.0,88012.0,70161.5,77806.5,87855.75
Tennessee ,74842.75,75702.5,78964.25,77046.0,78499.0,79615.5,80696.5,82967.0,81354.0,82338.75,83596.25,84578.5,87392.25,85929.2552000765,86830.20485698726,87912.75552440925,88897.00616645,88779.75,90718.5,92173.5,92433.25,92734.0,93846.75,94795.75,95205.75,95661.5,83928.0,93869.25,96115.5,100198.0,102995.75,105338.0,106781.25,115252.5,117484.5,120012.5,121414.25,128296.75,129404.25,131984.5,122167.5,130758.0,134668.0,136423.75,138367.75,118593.25,132907.5,133346.5
Virginia ,116435.5,117196.0,120271.0,117877.5,119792.0,121218.25,122196.5,123233.0,121375.5,122803.25,123883.25,124870.5,127646.5,125814.56693689874,126900.661320596,128398.06464314475,129472.8443926715,130833.5,132576.5,134303.5,135179.0,137003.5,138067.5,140202.0,141632.25,139780.75,129763.0,138591.75,141400.5,143107.0,146049.25,149006.25,151239.5,158470.25,160688.75,163643.25,165776.5,173237.75,174997.0,178225.0,166670.5,179974.25,187011.5,189809.0,192415.0,166795.5,180303.75,193437.25
West Virginia ,18909.5,18700.0,18580.25,18339.75,18843.0,18764.0,18374.5,18215.25,17789.0,18088.25,18380.5,18603.25,18511.75,18279.432594961974,18289.315970510273,18610.87255305005,18867.766909224974,18778.75,19276.0,19691.5,19691.5,19677.75,19796.25,19769.5,19620.0,19545.0,17220.5,19164.75,19924.75,20730.75,21564.25,22111.5,21358.5,22874.5,24181.0,24351.0,24354.25,24563.75,24465.5,25060.0,24572.5,25538.0,26464.25,26837.75,27091.5,21027.5,26010.5,28062.75
Southwest ,558436.5,554747.25,550076.25,551414.75,552435.25,550841.25,545613.75,545000.75,535991.5,543127.75,548609.25,552274.5,563606.0,552699.0197745975,559132.7356208675,566772.775744025,575819.5875221326,596824.0,609999.75,620334.25,626501.25,623481.0,627359.25,632981.0,637279.75,628497.0,567152.25,613591.0,626595.25,643650.5,666483.0,685144.75,699178.5,760961.5,793179.75,808653.75,811517.5,844281.0,849997.5,874289.0,823773.0,874583.0,899683.0,912004.5,922809.5,801435.75,883275.0,929764.5
Arizona ,72342.0,72541.5,72725.75,71511.25,72423.5,73055.25,73913.0,76462.25,74737.75,75734.5,77513.25,77863.5,81611.5,80227.02928470026,80685.20128113775,82390.965397027,83142.56858186325,85168.25,86368.5,87927.25,88833.25,90345.0,91726.25,93293.25,94754.75,93925.0,87829.5,94712.5,97251.75,98399.75,101447.25,103890.25,105006.75,111599.25,113400.5,115913.5,118913.5,124325.0,125636.5,128126.0,121013.0,130691.75,135264.5,137201.5,138903.5,116289.75,134740.75,144679.5
New Mexico ,23199.5,23328.25,23334.75,23278.75,23516.0,23478.75,23065.75,23398.5,22929.25,23349.5,23497.5,23817.25,23552.75,23279.7827517682,23318.6960180954,23652.54813090355,23959.71409344035,24372.25,24935.5,25396.5,25592.5,25743.0,26170.5,26501.25,26728.5,25817.25,22847.0,24646.5,25161.25,26078.75,26778.75,27400.75,27395.75,29573.0,30589.75,30954.75,31385.25,31932.75,32012.75,32883.75,32034.75,33752.5,34560.75,35023.0,35325.5,29324.75,34423.5,38180.75
Oklahoma ,46567.5,45734.0,46495.25,47605.5,46775.0,46414.75,45185.25,45319.5,44957.5,45564.75,45235.75,45519.75,47158.0,46179.515890071,47087.14494597475,47219.12805972375,48145.9215568405,49527.0,50467.75,51096.0,51463.5,50536.75,50568.5,50529.75,50401.0,49229.5,43628.5,47277.75,47920.75,49100.0,50818.25,52191.25,53834.0,57896.0,60575.75,61226.5,60684.75,62422.5,62582.5,64243.5,61494.0,64172.25,65264.5,66149.0,66830.25,63226.5,63040.75,67440.5
Texas ,416327.5,413143.5,407520.5,409019.25,409721.0,407892.5,403449.75,399820.75,393366.75,398479.0,402362.5,405074.0,411284.0,403012.6918480575,408041.69337566,413510.13415637,420571.38328999,437756.75,448228.0,455914.75,460611.75,456856.5,458894.0,462656.5,465395.5,459525.0,412847.25,446954.0,456261.25,470072.0,487439.0,501662.5,512942.25,561893.25,588613.75,600559.25,600534.25,625600.75,629765.75,649036.0,609231.25,645966.5,664593.25,673631.0,681750.5,592595.5,651070.75,679463.5
Rocky Mountain ,150753.75,152269.25,152975.5,150999.75,153187.0,153870.5,153844.5,158311.75,154930.0,156943.0,159578.25,161795.5,166890.0,163529.0692744385,165360.64504720224,167895.14903380675,170775.192050792,175030.25,178408.0,180592.75,182353.0,186766.25,188985.75,192250.25,194523.25,191901.25,176081.0,189777.75,194040.25,200197.5,206924.75,211401.75,214548.25,231803.5,236974.5,241151.5,243670.75,252661.0,254859.0,260639.25,246632.0,264289.75,271954.25,276299.25,279916.75,239669.0,264753.5,288999.75
